date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-25 00:22:22.646962	16.307685499999934	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	8.912643700000102	
2017-08-25 00:22:32.887289	10.24253269999997	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.7965166000000177	
2017-08-25 00:22:41.140379	8.257336799999964	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.0378348000000417	
2017-08-25 00:22:51.387977	10.239854799999991	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.821745700000065	
2017-08-25 00:22:59.574172	8.192385299999955	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0258649999999534	
2017-08-25 00:23:06.809409	7.234824300000013	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.15625339999996868	
2017-08-25 00:23:15.020648	8.20478909999997	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.1355214999999816	
2017-08-25 00:23:28.259312	13.246815200000016	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	5.9144957999999415	
2017-08-25 00:23:36.459255	8.190806500000008	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7883510000000342	
2017-08-25 00:23:44.632902	8.173338799999897	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	0.9781372999999576	
2017-08-25 00:33:37.924027	9.256848699999862	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.2666300999999294	
2017-08-25 00:33:54.265143	16.343531900000016	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	8.895814099999825	
2017-08-25 00:34:04.529314	10.264278800000056	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.7034363000000208	
2017-08-25 00:34:12.740821	8.210427900000013	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.0589435000001686	
2017-08-25 00:34:22.953775	10.215243999999984	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.807140900000149	
2017-08-25 00:34:31.181508	8.220204100000046	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.2316668999999365	
2017-08-25 00:34:38.394028	7.210069100000055	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.17388770000002296	
2017-08-25 00:34:46.693575	8.298485100000107	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.026018699999895	
2017-08-25 00:34:59.990050	13.29526809999993	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.183901400000195	
2017-08-25 00:35:08.217799	8.230973500000117	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7670015999999578	
2017-08-25 00:35:16.436709	8.220701800000143	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.0158841999998458	
2017-08-25 01:05:18.116733	9.222910999999982	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.049353199999985	
2017-08-25 10:54:42.304125	9.251096999999987	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.299138400000004	
